bolge_encoded,hags_exceeded,is_solved,has_coordinates,latitude,longitude,start_hour,start_day_of_week,start_month,bulten_no,il,ariza_kok_neden
0,1,1,1,0.0,0.0,6.0,0.0,1.0,10099810779,CANAKKALE,Doğalgaz Firması Çalışması
0,0,0,1,0.0,0.0,8.0,3.0,5.0,10105742802,BURSA,TC Karayolları Çalışması
0,0,1,1,0.0,0.0,,,,10105742803,BURSA,TC Karayolları Çalışması
